Name	StudentId	English	Math	Science	Phys.Ed	Art	Geography	History	Music
Murphy, Donald	S00000086	81.7	61.7	49.6	75.0	57.1	99.4	61.7	89.1
Nguyen, Christian	S00000087	63.2	52.7	76.3	81.3	64.7	70.2	29.9	77.1
Lee, Willie	S00000088	38.4	73.5	53.7	36.4	74.4	97.7	96.1	59.7
Gutierrez, Brandon	S00000089	80.0	96.7	56.9	100.0	41.8	88.9	64.9	100.0
Sanders, Christian	S00000090	100.0	50.6	38.5	82.8	68.4	78.7	57.6	80.4
Cruz, Austin	S00000091	77.7	43.6	89.5	67.9	63.0	88.3	21.7	43.7
Thomas, Joseph	S00000092	74.0	10.9	37.6	94.1	46.0	49.1	13.3	34.2
Jackson, Sandra	S00000093	85.5	47.9	75.4	65.8	94.2	28.5	72.4	60.5
Hall, Gregory	S00000094	50.6	35.0	66.8	69.5	67.1	55.0	89.9	67.6
Mitchell, Roger	S00000095	27.2	75.1	97.4	71.4	100.0	91.4	43.4	89.9
Powell, Jane	S00000096	62.4	84.4	52.8	59.0	58.5	49.4	100.0	49.0
Hughes, Adam	S00000097	100.0	83.1	50.4	68.8	68.2	91.7	52.5	100.0
Reed, Robert	S00000098	54.9	70.8	72.4	62.4	31.9	61.9	82.4	18.4
Gomez, Doris	S00000099	61.9	83.4	83.8	60.4	52.6	75.4	73.4	66.8
Davis, Amber	S00000100	100.0	68.9	83.0	62.6	42.8	57.3	58.0	57.7
