Name	StudentId	English	Math	Science	Phys.Ed	Art	Geography	History	Music
Gray, Emma	S00000025	78.6	26.6	50.1	N/A	28.3	76.9	60.6	22.1
Jenkins, Sean	S00000026	67.8	51.4	62.5	69.2	12.6	N/A	93.4	62.5
Johnson, Christian	S00000027	N/A	72.7	85.2	N/A	36.0	N/A	24.8	54.4
Torres, Kevin	S00000028	68.3	83.7	40.6	83.0	58.5	62.0	94.6	63.3
Murphy, Madison	S00000029	27.8	N/A	82.9	60.5	100.0	100.0	41.6	N/A
Williams, Evelyn	S00000030	81.4	38.2	60.3	51.5	56.1	46.3	76.6	23.3
Gomez, Paul	S00000031	90.8	57.3	N/A	53.4	62.7	N/A	69.7	100.0
Turner, Alexis	S00000032	73.6	0.0	74.9	N/A	69.7	48.2	48.2	100.0
Morris, Lauren	S00000033	96.5	37.1	31.7	86.0	100.0	33.3	32.9	49.8
Rodriguez, Theresa	S00000034	74.3	29.0	48.4	58.5	82.0	81.7	72.7	89.6
Diaz, Amy	S00000035	57.7	N/A	95.8	68.7	82.5	68.8	100.0	94.2
Perez, Amber	S00000036	N/A	75.6	60.7	62.6	100.0	22.8	31.7	55.6
King, Ronald	S00000037	N/A	57.4	31.0	77.6	27.8	48.0	30.2	8.5
Taylor, Diana	S00000038	38.2	56.0	42.8	74.1	77.4	91.1	54.1	76.1
Morgan, Ralph	S00000039	65.0	87.5	66.6	65.7	77.8	85.6	83.6	97.1
Sanders, Roy	S00000040	44.2	88.0	41.3	83.2	68.8	53.4	49.0	0.0
Allen, Donald	S00000041	78.4	49.2	84.3	100.0	65.0	29.4	78.6	N/A
Sanders, Lauren	S00000042	67.6	57.7	69.2	70.9	74.5	60.2	67.6	36.8
Ortiz, Virginia	S00000043	74.3	52.2	24.2	100.0	79.7	42.4	42.1	0.0
Young, Kevin	S00000044	N/A	45.2	25.6	N/A	48.9	68.5	28.7	41.6
Gutierrez, Christopher	S00000045	56.8	78.1	93.6	15.5	84.6	83.9	66.6	41.4
Brown, Matthew	S00000046	N/A	N/A	N/A	65.8	72.4	74.6	94.7	73.9
Rodriguez, Marie	S00000047	79.5	65.9	74.6	43.0	N/A	64.6	84.8	N/A
Nelson, Sean	S00000048	39.2	70.9	86.4	80.6	72.8	100.0	28.9	98.1
Hughes, Sandra	S00000049	94.5	48.6	78.8	100.0	77.4	63.3	45.6	73.8
Powell, Judy	S00000050	61.7	23.8	18.9	73.2	76.0	95.9	32.5	100.0
Thompson, Jacqueline	S00000051	50.8	14.7	99.3	N/A	71.7	48.0	58.5	16.0
Fisher, Vincent	S00000052	N/A	35.1	79.8	N/A	58.1	61.0	51.6	54.9
Garcia, Hannah	S00000053	100.0	90.1	59.0	79.2	74.7	67.4	45.9	5.4
Smith, Frances	S00000054	82.9	72.4	N/A	89.4	50.0	N/A	100.0	95.2
Barnes, Christopher	S00000055	72.0	63.6	53.9	28.7	N/A	20.5	N/A	98.7
Hall, Anthony	S00000056	25.4	55.8	73.5	N/A	68.3	31.5	52.0	81.1
Russell, Jeffrey	S00000057	89.9	N/A	32.3	40.1	89.4	54.7	33.7	83.8
Brooks, Brittany	S00000058	52.0	93.8	15.1	100.0	92.6	82.2	N/A	N/A
Martinez, Gloria	S00000059	58.6	56.7	N/A	90.5	86.0	63.9	65.3	84.0
Foster, Heather	S00000060	79.6	83.4	30.9	85.7	36.9	100.0	80.2	39.1
Peterson, Juan	S00000061	38.5	39.5	83.4	73.3	80.5	79.7	56.7	76.3
Ward, David	S00000062	43.3	13.0	63.7	100.0	17.7	N/A	61.6	44.7
Sullivan, Amy	S00000063	54.5	100.0	N/A	57.3	75.7	56.4	91.4	100.0
Jones, Jesse	S00000064	59.2	60.3	76.5	54.4	17.8	46.3	15.4	78.4
Murphy, Lori	S00000065	50.4	56.2	52.6	41.4	37.5	66.8	47.0	70.4
Cook, Nancy	S00000066	83.8	18.7	80.5	47.8	99.2	82.8	1.5	33.3
Stewart, Nicole	S00000067	84.5	100.0	52.2	63.8	100.0	57.7	67.6	38.9
Ross, David	S00000068	54.4	27.8	64.4	59.9	58.8	N/A	48.2	63.9
Cruz, Hannah	S00000069	54.4	79.4	35.0	59.5	N/A	99.7	59.5	100.0
Bailey, Joseph	S00000070	76.6	28.0	90.9	N/A	65.4	61.1	100.0	81.2
Martinez, Brian	S00000071	55.1	49.9	81.5	N/A	65.5	72.6	N/A	26.0
Davis, Tyler	S00000072	68.6	63.4	49.3	91.2	100.0	75.7	N/A	64.5
Brooks, Janice	S00000073	61.2	65.2	98.1	59.3	27.4	44.8	39.8	88.6
Butler, Sara	S00000074	91.4	43.3	N/A	85.6	34.6	27.9	67.1	83.8
Cook, Timothy	S00000075	61.2	67.0	N/A	65.9	79.7	62.3	80.7	100.0
Evans, Linda	S00000076	89.0	62.9	67.3	96.9	95.0	67.5	84.0	54.0
Miller, Donald	S00000077	41.0	43.4	56.2	67.4	57.1	59.9	46.8	24.4
Gonzalez, Randy	S00000078	100.0	46.4	36.6	58.4	86.6	89.3	87.1	29.8
Bennett, Nicholas	S00000079	58.1	9.9	61.1	N/A	81.4	100.0	N/A	46.0
Russell, Gerald	S00000080	22.0	91.2	77.2	N/A	63.9	80.2	100.0	0.0
Bennett, Ruth	S00000081	N/A	40.9	91.5	78.5	53.0	100.0	58.3	78.1
Evans, William	S00000082	82.0	69.3	52.9	75.5	60.7	65.9	100.0	24.3
Phillips, Roy	S00000083	66.4	65.2	41.8	55.0	67.1	48.0	36.8	40.0
Morgan, Emily	S00000084	40.5	50.7	100.0	76.5	68.5	59.1	14.1	21.9
Garcia, Julia	S00000085	N/A	64.1	59.6	N/A	48.6	60.5	69.5	50.0
Davis, Judy	S00000086	73.6	41.9	31.2	62.4	10.3	73.2	74.7	N/A
Martinez, Anthony	S00000087	N/A	46.8	25.1	100.0	N/A	100.0	19.9	44.5
Wright, Janet	S00000088	45.6	28.4	81.5	75.4	40.0	86.5	46.0	57.6
Perry, Austin	S00000089	N/A	78.7	45.4	54.9	60.8	88.3	N/A	47.2
Morales, Olivia	S00000090	65.7	40.0	N/A	57.8	83.1	54.6	N/A	12.7
Hill, David	S00000091	73.5	56.3	22.1	N/A	76.0	70.9	15.6	68.9
Nelson, Madison	S00000092	24.7	46.9	87.5	22.9	58.1	56.9	42.6	34.3
Garcia, Daniel	S00000093	100.0	32.4	68.1	87.7	35.4	84.8	98.5	49.7
Cooper, Elizabeth	S00000094	100.0	N/A	70.0	58.8	20.0	100.0	33.8	100.0
Reyes, Donald	S00000095	70.6	59.0	9.0	93.2	30.6	89.0	61.7	N/A
Garcia, Catherine	S00000096	N/A	60.5	48.2	N/A	36.1	47.1	53.3	60.1
Martinez, Vincent	S00000097	47.5	32.9	57.3	83.7	66.8	66.3	96.3	64.4
King, Brittany	S00000098	33.7	46.7	41.3	65.4	62.5	74.5	42.8	100.0
Bennett, Mark	S00000099	54.1	N/A	60.0	54.6	93.9	35.7	74.9	N/A
Campbell, Stephanie	S00000100	64.4	39.4	100.0	75.0	54.1	75.3	100.0	0.0
